APC,APC_FINAL,AE,AE_FINAL,OP,OP_FINAL
Table_Year,,Table_Year,,Table_Year,
ADMIAGE,AGE,ACTIVAGE,,ADMINCAT,
ADMIDATE,DATE,AEARRIVALMODE,,APPTAGE,AGE
ADMIMETH,ADMIMETH,AEATTENDCAT,,APPTDATE,DATE
ADMINCAT,,AEATTENDDISP,,ATENTYPE,
ADMISORC,,AEDEPTTYPE,,ATTENDED,
ADMISTAT,,AEINCLOCTYPE,,ATTENDKEY,EPIKEY
AEKEY,,AEKEY,,BABYAGE,
ANAGEST,,AEPATGROUP,,CARERSI,
ANASDATE,,AEREFSOURCE,,CSNUM,
ANTEDUR,,ARRIVALAGE,AGE,DIAG_01,DIAG_01
BEDYEAR,,ARRIVALDATE,DATE,DIAG_02,DIAG_02
BIRESUS_1,,ARRIVALTIME,,DIAG_03,DIAG_03
BIRESUS_2,,CARERSI,,DIAG_04,DIAG_04
BIRESUS_3,,CONCLDUR,,DIAG_05,DIAG_05
BIRESUS_4,,CONCLTIME,,DIAG_06,DIAG_06
BIRESUS_5,,DEPDUR,,DIAG_07,DIAG_07
BIRESUS_6,,DEPTIME,,DIAG_08,DIAG_08
BIRESUS_7,,DIAG_01,DIAG_01,DIAG_09,DIAG_09
BIRESUS_8,,DIAG_02,DIAG_02,DIAG_10,DIAG_10
BIRESUS_9,,DIAG_03,DIAG_03,DIAG_11,DIAG_11
BIRORDR_1,,DIAG_04,DIAG_04,DIAG_12,DIAG_12
BIRORDR_2,,DIAG_05,DIAG_05,DNADATE,
BIRORDR_3,,DIAG_06,DIAG_06,ENCRYPTED_HESID,ENCRYPTED_HESID
BIRORDR_4,,DIAG_07,DIAG_07,ETHNOS,ETHNOS
BIRORDR_5,,DIAG_08,DIAG_08,FIRSTATT,
BIRORDR_6,,DIAG_09,DIAG_09,HRGNHS,HRGNHS
BIRORDR_7,,DIAG_10,DIAG_10,HRGNHSVN,HRGNHSVN
BIRORDR_8,,DIAG_11,DIAG_11,IMD04_DECILE,IMD04_DECILE
BIRORDR_9,,DIAG_12,DIAG_12,IMD04C,IMD04C
BIRSTAT_1,,DIAGA_01,,IMD04ED,IMD04ED
BIRSTAT_2,,DIAGA_02,,IMD04EM,IMD04EM
BIRSTAT_3,,DIAGA_03,,IMD04HD,IMD04HD
BIRSTAT_4,,DIAGA_04,,IMD04HS,IMD04HS
BIRSTAT_5,,DIAGA_05,,IMD04I,IMD04I
BIRSTAT_6,,DIAGA_06,,IMD04IA,IMD04IA
BIRSTAT_7,,DIAGA_07,,IMD04IC,IMD04IC
BIRSTAT_8,,DIAGA_08,,IMD04LE,IMD04LE
BIRSTAT_9,,DIAGA_09,,IMD04RK,IMD04RK
BIRWEIT_1,,DIAGA_10,,MAINSPEF,MAINSPEF
BIRWEIT_2,,DIAGA_11,,MARSTAT,
BIRWEIT_3,,DIAGA_12,,NHSNOIND,
BIRWEIT_4,,DIAGS_01,,OPERSTAT,OPERSTAT
BIRWEIT_5,,DIAGS_02,,OPERTN_01,OPERTN_01
BIRWEIT_6,,DIAGS_03,,OPERTN_02,OPERTN_02
BIRWEIT_7,,DIAGS_04,,OPERTN_03,OPERTN_03
BIRWEIT_8,,DIAGS_05,,OPERTN_04,OPERTN_04
BIRWEIT_9,,DIAGS_06,,OPERTN_05,OPERTN_05
CARERSI,,DIAGS_07,,OPERTN_06,OPERTN_06
CATEGORY,,DIAGS_08,,OPERTN_07,OPERTN_07
CAUSE,,DIAGS_09,,OPERTN_08,OPERTN_08
CENDUR,,DIAGS_10,,OPERTN_09,OPERTN_09
CENSAGE,,DIAGS_11,,OPERTN_10,OPERTN_10
CENSTAT,,DIAGS_12,,OPERTN_11,OPERTN_11
CENWARD,,DOMPROC,,OPERTN_12,OPERTN_12
CLASSPAT,,ENCRYPTED_HESID,ENCRYPTED_HESID,OPERTN_13,OPERTN_13
DELCHANG,,EPIKEY,EPIKEY,OPERTN_14,OPERTN_14
DELINTEN,,ETHNOS,ETHNOS,OPERTN_15,OPERTN_15
DELMETH_1,,HRGNHS,HRGNHS,OPERTN_16,OPERTN_16
DELMETH_2,,HRGNHSVN,HRGNHSVN,OPERTN_17,OPERTN_17
DELMETH_3,,IMD04_DECILE,IMD04_DECILE,OPERTN_18,OPERTN_18
DELMETH_4,,IMD04C,IMD04C,OPERTN_19,OPERTN_19
DELMETH_5,,IMD04ED,IMD04ED,OPERTN_20,OPERTN_20
DELMETH_6,,IMD04EM,IMD04EM,OPERTN_21,OPERTN_21
DELMETH_7,,IMD04HD,IMD04HD,OPERTN_22,OPERTN_22
DELMETH_8,,IMD04HS,IMD04HS,OPERTN_23,OPERTN_23
DELMETH_9,,IMD04I,IMD04I,OPERTN_24,OPERTN_24
DELMETH_D,,IMD04IA,IMD04IA,OUTCOME,
DELONSET,,IMD04IC,IMD04IC,PCFOUND,
DELPOSAN,,IMD04LE,IMD04LE,PCONSULT,
DELPREAN,,IMD04RK,IMD04RK,PREGGMP,
DELSTAT_1,,INITDUR,,PRIORITY,
DELSTAT_2,,INITTIME,,PROTYPE,
DELSTAT_3,,INVEST_01,,REFSOURC,
DELSTAT_4,,INVEST_02,,REQDATE,
DELSTAT_5,,INVEST_03,,RURURB_IND,RURURB_IND
DELSTAT_6,,INVEST_04,,SERVTYPE,
DELSTAT_7,,INVEST_05,,SEX,SEX
DELSTAT_8,,INVEST_06,,STAFFTYP,
DELSTAT_9,,INVEST_07,,SUSHRG,
DETDUR,,INVEST_08,,SUSHRGVERS,
DETNDATE,,INVEST_09,,TRETSPEF,TRETSPEF
DIAG_01,DIAG_01,INVEST_10,,WAIT_IND,
DIAG_02,DIAG_02,INVEST_11,,WAITDAYS,
DIAG_03,DIAG_03,INVEST_12,,WAITING,
DIAG_04,DIAG_04,NHSNOIND,,EXTRACT_SITECODE,
DIAG_05,DIAG_05,PEREND,,,
DIAG_06,DIAG_06,PROTYPE,,,
DIAG_07,DIAG_07,RTTPEREND,,,
DIAG_08,DIAG_08,RTTPERSTART,,,
DIAG_09,DIAG_09,RTTPERSTAT,,,
DIAG_10,DIAG_10,RURURB_IND,RURURB_IND,,
DIAG_11,DIAG_11,SEX,SEX,,
DIAG_12,DIAG_12,SUBDATE,,,
DIAG_13,DIAG_13,SUSHRG,,,
DIAG_14,DIAG_14,SUSHRGVERS,,,
DIAG_15,DIAG_15,TREAT_01,,,
DIAG_16,DIAG_16,TREAT_02,,,
DIAG_17,DIAG_17,TREAT_03,,,
DIAG_18,DIAG_18,TREAT_04,,,
DIAG_19,DIAG_19,TREAT_05,,,
DIAG_20,DIAG_20,TREAT_06,,,
DISDATE,,TREAT_07,,,
DISDEST,,TREAT_08,,,
DISMETH,,TREAT_09,,,
DISREADYDATE,,TREAT_10,,,
DOMPROC,,TREAT_11,,,
ELECDATE,,TREAT_12,,,
ELECDUR,,TRETDUR,,,
ENCRYPTED_HESID,ENCRYPTED_HESID,TRETTIME,,,
ENDAGE,,WAITDAYS,,,
EPIDUR,EPIDUR,EXTRACT_SITECODE,,,
EPIEND,,,,,
EPIKEY,EPIKEY,,,,
EPIORDER,,,,,
EPISTART,,,,,
EPISTAT,,,,,
EPITYPE,,,,,
ETHNOS,ETHNOS,,,,
FAE_EMERGENCY,,,,,
FIRSTREG,,,,,
GESTAT_1,,,,,
GESTAT_2,,,,,
GESTAT_3,,,,,
GESTAT_4,,,,,
GESTAT_5,,,,,
GESTAT_6,,,,,
GESTAT_7,,,,,
GESTAT_8,,,,,
GESTAT_9,,,,,
HRGNHS,HRGNHS,,,,
HRGNHSVN,HRGNHSVN,,,,
IMD04,IMD04,,,,
IMD04_DECILE,IMD04_DECILE,,,,
IMD04C,IMD04C,,,,
IMD04ED,IMD04ED,,,,
IMD04EM,IMD04EM,,,,
IMD04HD,IMD04HD,,,,
IMD04HS,IMD04HS,,,,
IMD04I,IMD04I,,,,
IMD04IA,IMD04IA,,,,
IMD04IC,IMD04IC,,,,
IMD04LE,IMD04LE,,,,
IMD04RK,IMD04RK,,,,
INTMANIG,,,,,
MAINSPEF,MAINSPEF,,,,
MARSTAT,,,,,
MATAGE,,,,,
MENTCAT,MENTCAT,,,,
NEOCARE,,,,,
NEODUR,,,,,
NHSNOIND,,,,,
NUMBABY,,,,,
NUMPREG,,,,,
NUMTAILB,,,,,
OPCS43,,,,,
OPDATE_01,OPDATE_01,,,,
OPDATE_02,OPDATE_02,,,,
OPDATE_03,OPDATE_03,,,,
OPDATE_04,OPDATE_04,,,,
OPDATE_05,OPDATE_05,,,,
OPDATE_06,OPDATE_06,,,,
OPDATE_07,OPDATE_07,,,,
OPDATE_08,OPDATE_08,,,,
OPDATE_09,OPDATE_09,,,,
OPDATE_10,OPDATE_10,,,,
OPDATE_11,OPDATE_11,,,,
OPDATE_12,OPDATE_12,,,,
OPDATE_13,OPDATE_13,,,,
OPDATE_14,OPDATE_14,,,,
OPDATE_15,OPDATE_15,,,,
OPDATE_16,OPDATE_16,,,,
OPDATE_17,OPDATE_17,,,,
OPDATE_18,OPDATE_18,,,,
OPDATE_19,OPDATE_19,,,,
OPDATE_20,OPDATE_20,,,,
OPDATE_21,OPDATE_21,,,,
OPDATE_22,OPDATE_22,,,,
OPDATE_23,OPDATE_23,,,,
OPDATE_24,OPDATE_24,,,,
OPERSTAT,OPERSTAT,,,,
OPERTN_01,OPERTN_01,,,,
OPERTN_02,OPERTN_02,,,,
OPERTN_03,OPERTN_03,,,,
OPERTN_04,OPERTN_04,,,,
OPERTN_05,OPERTN_05,,,,
OPERTN_06,OPERTN_06,,,,
OPERTN_07,OPERTN_07,,,,
OPERTN_08,OPERTN_08,,,,
OPERTN_09,OPERTN_09,,,,
OPERTN_10,OPERTN_10,,,,
OPERTN_11,OPERTN_11,,,,
OPERTN_12,OPERTN_12,,,,
OPERTN_13,OPERTN_13,,,,
OPERTN_14,OPERTN_14,,,,
OPERTN_15,OPERTN_15,,,,
OPERTN_16,OPERTN_16,,,,
OPERTN_17,OPERTN_17,,,,
OPERTN_18,OPERTN_18,,,,
OPERTN_19,OPERTN_19,,,,
OPERTN_20,OPERTN_20,,,,
OPERTN_21,OPERTN_21,,,,
OPERTN_22,OPERTN_22,,,,
OPERTN_23,OPERTN_23,,,,
OPERTN_24,OPERTN_24,,,,
PCFOUND,,,,,
PCONSULT,,,,,
POSOPDUR,,,,,
POSTDUR,,,,,
PREOPDUR,,,,,
PROTYPE,,,,,
RURURB_IND,RURURB_IND,,,,
SEX,SEX,,,,
SEXBABY_1,,,,,
SEXBABY_2,,,,,
SEXBABY_3,,,,,
SEXBABY_4,,,,,
SEXBABY_5,,,,,
SEXBABY_6,,,,,
SEXBABY_7,,,,,
SEXBABY_8,,,,,
SEXBABY_9,,,,,
SPELBGIN,,,,,
SPELDUR,,,,,
SPELEND,,,,,
STARTAGE,,,,,
SUBDATE,,,,,
SUSCOREHRG,SUSCOREHRG,,,,
SUSHRG,,,,,
SUSHRGVERS,,,,,
SUSRECID,,,,,
SUSSPELLID,,,,,
TRETSPEF,TRETSPEF,,,,
VIND,,,,,
WAITDAYS,,,,,
WARDSTRT,,,,,
WELL_BABY_IND,,,,,
EXTRACT_SITECODE,,,,,
